0.52,X Postion,Y Postion,Radius
,7.7804,4.375,0.4794
,8.3863,3.7872,0.2196
,11.2586,18.3118,0.322
,12.0895,18.3482,0.3063
,13.949,14.9912,0.2254
,14.8337,14.9791,0.2235
""
18.4,X Postion,Y Postion,Radius
,7.7845,4.3898,0.486
,8.3915,3.8383,0.2377
,11.2464,18.3603,0.3413
,12.1008,18.4209,0.3008
,14.8579,15.0154,0.2522
""
38.43,X Postion,Y Postion,Radius
,5.2475,11.1495,0.2328
,7.7925,4.3992,0.4982
,8.3863,3.866,0.2557
,11.2464,18.3966,0.3297
,12.0857,18.4088,0.3298
,13.9732,15.076,0.2498
,14.8337,15.0397,0.2723
,17.429,10.3011,0.207
""
