0.507509708404541,X Postion,Y Postion,Radius
,[9080.0],[26660.0],6.020897388458252
,"[9080.0, 9820.0]","[26660.0, 17460.0]",7.905794143676758
,"[9080.0, 9820.0, 10960.0]","[26660.0, 17460.0, 21120.0]",14.4223051071167
,"[9080.0, 9820.0, 10960.0, 11760.0]","[26660.0, 17460.0, 21120.0, 7140.0]",18.82162857055664
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0]",10.816754341125488
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796]",17.021709442138672
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0]",11.180439949035645
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0, 25020.0]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0, 16020.0]",8.514793395996094
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0, 25020.0, 25540.0]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0, 16020.0, 23700.0]",18.344036102294922
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0, 25020.0, 25540.0, 28440.0]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0, 16020.0, 23700.0, 18320.0]",18.681640625
""
2.078878879547119,X Postion,Y Postion,Radius
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0, 25020.0, 25540.0, 28440.0, 9060.0]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0, 16020.0, 23700.0, 18320.0, 26700.0]",7.106435298919678
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0, 25020.0, 25540.0, 28440.0, 9060.0, 9800.0]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0, 16020.0, 23700.0, 18320.0, 26700.0, 17480.0]",7.810349941253662
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0, 25020.0, 25540.0, 28440.0, 9060.0, 9800.0, 10970.0464]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0, 16020.0, 23700.0, 18320.0, 26700.0, 17480.0, 21132.7197]",14.608744621276855
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0, 25020.0, 25540.0, 28440.0, 9060.0, 9800.0, 10970.0464, 11740.0]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0, 16020.0, 23700.0, 18320.0, 26700.0, 17480.0, 21132.7197, 7180.0]",21.96598243713379
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0, 25020.0, 25540.0, 28440.0, 9060.0, 9800.0, 10970.0464, 11740.0, 16220.0]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0, 16020.0, 23700.0, 18320.0, 26700.0, 17480.0, 21132.7197, 7180.0, 21140.0]",10.700567245483398
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0, 25020.0, 25540.0, 28440.0, 9060.0, 9800.0, 10970.0464, 11740.0, 16220.0, 18743.8708]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0, 16020.0, 23700.0, 18320.0, 26700.0, 17480.0, 21132.7197, 7180.0, 21140.0, 18560.0]",17.148448944091797
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0, 25020.0, 25540.0, 28440.0, 9060.0, 9800.0, 10970.0464, 11740.0, 16220.0, 18743.8708, 22805.1172]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0, 16020.0, 23700.0, 18320.0, 26700.0, 17480.0, 21132.7197, 7180.0, 21140.0, 18560.0, 15829.3018]",11.415870666503906
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0, 25020.0, 25540.0, 28440.0, 9060.0, 9800.0, 10970.0464, 11740.0, 16220.0, 18743.8708, 22805.1172, 25026.1548]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0, 16020.0, 23700.0, 18320.0, 26700.0, 17480.0, 21132.7197, 7180.0, 21140.0, 18560.0, 15829.3018, 16013.8464]",8.53561019897461
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0, 25020.0, 25540.0, 28440.0, 9060.0, 9800.0, 10970.0464, 11740.0, 16220.0, 18743.8708, 22805.1172, 25026.1548, 25520.0]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0, 16020.0, 23700.0, 18320.0, 26700.0, 17480.0, 21132.7197, 7180.0, 21140.0, 18560.0, 15829.3018, 16013.8464, 23720.0]",18.973764419555664
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0, 25020.0, 25540.0, 28440.0, 9060.0, 9800.0, 10970.0464, 11740.0, 16220.0, 18743.8708, 22805.1172, 25026.1548, 25520.0, 28442.8564]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0, 16020.0, 23700.0, 18320.0, 26700.0, 17480.0, 21132.7197, 7180.0, 21140.0, 18560.0, 15829.3018, 16013.8464, 23720.0, 18340.0]",19.070608139038086
""
3.4676365852355957,X Postion,Y Postion,Radius
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0, 25020.0, 25540.0, 28440.0, 9060.0, 9800.0, 10970.0464, 11740.0, 16220.0, 18743.8708, 22805.1172, 25026.1548, 25520.0, 28442.8564, 9060.0]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0, 16020.0, 23700.0, 18320.0, 26700.0, 17480.0, 21132.7197, 7180.0, 21140.0, 18560.0, 15829.3018, 16013.8464, 23720.0, 18340.0, 26700.0]",7.106435298919678
,"[9080.0, 9820.0, 10960.0, 11760.0, 16240.0, 18728.5376, 22800.0, 25020.0, 25540.0, 28440.0, 9060.0, 9800.0, 10970.0464, 11740.0, 16220.0, 18743.8708, 22805.1172, 25026.1548, 25520.0, 28442.8564, 9060.0, 9800.0]","[26660.0, 17460.0, 21120.0, 7140.0, 21120.0, 18545.3796, 15800.0, 16020.0, 23700.0, 18320.0, 26700.0, 17480.0, 21132.7197, 7180.0, 21140.0, 18560.0, 15829.3018, 16013.8464, 23720.0, 18340.0, 26700.0, 17516.3635]",7.135741710662842
