,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0]",6.020897388458252
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0]",9.552586555480957
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0]",5.656954288482666
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0]",26.172603607177734
""
9.966865301132202,X Postion,Y Postion,Radius
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0]",21.260391235351562
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0]",295.2783508300781
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0]",5.656954288482666
""
11.929114580154419,X Postion,Y Postion,Radius
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0, 10849.4739]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0, 20969.4727]",6.736237525939941
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0, 10849.4739, 11520.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0, 20969.4727, 7200.0]",24.839584350585938
