Elapsed Time,KHCO3 In (kPa),KHCO3 Out (kPa),CO2 In (kPa),CO2 Out (kPa),Current (mA),Voltage (V),Power (mW),CO2 Flow Rate (SCCM)
0.11,986.8875910530787,966,986.975947363589,985.1158415475554,0.0,0.0,0,0.16000488296151616
0.15,986.8884900271681,950,986.9306133845045,985.0913123973991,0.0,0.0,0,0.24000732444227427
0.18,987.018584420405,968,987.0474800161387,985.0834784803336,0.0,0.0,0,0.16000488296151616
0.21,986.9380620269602,954,987.0229508659826,985.075516138398,1.25,0.0,0,0.08000244148075808
0.24,986.9283017368457,970,987.054158109375,985.0690948949017,-1.25,0.0,0,0.0
0.28,986.9263753637969,956,986.9789011355973,985.0639579001046,-1.25,0.0,0,-0.08000244148075808
0.31,987.0264183374705,953,987.0181991457952,985.2094632777327,1.25,0.0,0,-0.08000244148075808
0.34,986.9821117573455,970,987.0059987831521,985.1082644802295,0.0,0.0,0,-0.08000244148075808
0.37,986.9349798300819,970,987.0568550316435,985.1408843971913,-1.25,0.0,0,-0.08000244148075808
0.41,986.8967092188435,962,986.9686271460031,985.1792834332997,1.25,0.0,0,-0.08000244148075808
0.44,986.9686271460031,970,987.1016753112482,985.1080076304897,-1.25,0.0,0,-0.08000244148075808
0.47,986.9276596124962,957,987.0888328242554,985.1202079931329,1.25,0.00125,0,-0.08000244148075808
0.51,987.0233361405923,954,987.02744573643,985.077442511447,1.25,0.00125,0,0.0
0.54,986.983010731435,961,987.0894749486051,985.148333039647,-1.25,0.005,0,0.08000244148075808
0.57,986.9964953427774,961,987.1458534665034,985.0865606772119,1.25,0.01375,0,0.08000244148075808
0.63,986.981341208126,964,987.057497155993,985.1759443866815,-1.25,0.0,0,0.08000244148075808
0.69,987.0004765137452,959,987.0210244929335,984.9971769677421,0.0,0.0275,0,0.0
0.73,987.04529679335,962,986.9240637161382,984.9782985118627,1.25,0.0,0,-0.08000244148075808
0.77,986.9003051152015,961,986.8815550841921,985.0129732267432,0.0,0.03,0,0.0
0.84,986.8060412606745,952,987.0820263061494,985.0683243456821,0.0,0.0,0,0.0
0.89,986.9349798300819,952,986.9609216538074,985.0102763044748,1.25,0.0,0,-0.08000244148075808
0.95,986.9579678817992,959,986.8306988357007,985.0475195167538,0.0,0.0,0,0.0
1.02,986.9376767523505,968,986.9998343893956,985.1702936924047,1.25,0.0,0,-0.16000488296151616
1.07,986.8330104833593,958,987.0418293218619,984.9433669472423,-1.25,0.0,0,0.0
1.13,986.7902450016735,965,986.906597933828,985.0015434133197,1.25,0.0,0,-0.08000244148075808
1.17,986.9252195399674,955,986.9480791668146,985.024017765557,0.0,0.00125,0,-0.08000244148075808
1.21,987.0246203892915,953,986.9791579853371,984.9994886154009,1.25,0.00125,0,-0.08000244148075808
1.25,986.7504332919958,962,986.8732074676468,984.8962350199789,1.25,0.0,0,0.0
1.28,986.9425568974078,952,986.9955963686879,985.0512438379817,1.25,0.02,0,0.0
1.32,986.9344661306022,966,986.9941836951187,985.0969630916759,-1.25,0.00375,0,0.0
1.35,986.9299712601548,950,987.0548002337247,985.0098910298649,0.0,0.03125,0,0.0
1.42,986.943841146107,963,987.2497491862749,985.1627166250789,0.0,0.0,0,0.0
1.47,986.8589523070848,958,986.9875056018825,985.0886154751307,0.0,0.0275,0,0.0
1.52,986.9533445864818,968,986.9110928042754,985.1059528325709,0.0,0.0,0,-0.08000244148075808
1.57,986.8202964212365,957,986.9411442238385,984.8773565640995,-1.25,0.0275,0,0.08000244148075808
1.62,986.9824970319553,959,986.9372914777407,985.0793688844959,-1.25,0.0,0,0.0
1.66,986.9589952807586,957,987.046966316659,985.114814148596,0.0,0.0025,0,0.0
1.7,987.0013754878347,964,987.0881906999059,984.819565372632,-1.25,0.0,0,0.08000244148075808
1.74,986.8884900271681,950,987.0083104308108,985.1241891641006,1.25,0.005,0,0.0
1.78,986.8309556854405,963,986.9455106694161,985.0680674959423,0.0,0.0,0,0.08000244148075808
1.82,986.9511613636929,965,986.9542435605712,985.0360897033302,0.0,0.035,0,0.08000244148075808
1.87,986.998935415306,955,987.0280878607797,984.9188377970862,1.25,0.0,0,0.24000732444227427
1.92,986.9380620269602,956,987.0793293838808,985.0475195167538,0.0,0.0,0,0.08000244148075808
1.97,986.9573257574494,963,986.8949112706645,985.1604049774203,-1.25,0.0,0,0.08000244148075808
2.01,987.0685416948069,954,986.9656733739947,984.9934526465141,0.0,0.01,0,0.0
2.07,987.0004765137452,956,986.8494488667101,985.0254304391262,0.0,0.02625,0,0.16000488296151616
2.14,986.9677281719136,963,986.9385757264399,985.10762235588,0.0,0.00125,0,0.08000244148075808
2.18,986.879757136013,961,987.0573687311232,985.1032559103024,-1.25,0.0,0,0.0
2.24,987.0327111560971,959,987.0000912391354,984.9758584393342,1.25,0.00625,0,-0.08000244148075808
