Time,Cumulative Area,# of Detected Areas
2.19,4.55827798185157,6
6.73,4.6233259718039825,6
13.53,4.81996665988525,6
20.8,4.746469634081293,6
28.42,4.887268395887196,6
34.98,4.930389191595761,6
42.01,4.815395835815339,6
