0.66,X Postion,Y Postion,Radius
,7.7804,4.8718,0.8756
,8.6166,2.3511,0.5919
,9.1014,3.9993,0.6496
,9.2104,1.5634,0.2723
,9.7316,3.7084,0.2602
,12.3129,18.2512,0.3376
,13.1667,18.2944,0.318
,15.8759,14.9306,0.2959
""
5.36,X Postion,Y Postion,Radius
,6.2776,11.0889,0.1988
,7.7683,4.8961,0.8837
,8.7136,2.2178,0.9672
,9.0892,4.0235,0.6593
,9.7558,3.7448,0.2661
,12.325,18.2876,0.3449
,13.1752,18.3166,0.3259
,15.0033,14.9548,0.2235
,15.9122,14.9185,0.2594
,18.4785,10.2016,0.2315
,20.3842,11.7675,0.2498
""
14.45,X Postion,Y Postion,Radius
,6.3382,11.1131,0.2594
,7.7683,4.9082,0.8927
,8.6166,2.3268,0.8557
,9.0892,4.0356,0.6665
,9.7499,3.7599,0.2456
,12.3371,18.2997,0.3376
,13.1752,18.3408,0.3259
,15.0154,14.9912,0.2406
,15.8638,15.0033,0.3227
,18.4572,10.2163,0.2254
,20.263,11.7312,0.2827
""
19.49,X Postion,Y Postion,Radius
,6.3382,11.101,0.2328
,7.7683,4.9324,0.8927
,8.762,2.2541,1.0227
,9.1014,4.0356,0.6622
,9.7558,3.769,0.2661
,12.325,18.3118,0.3449
,13.1734,18.3724,0.3106
,15.0397,15.0154,0.2594
,15.9001,14.9791,0.2959
,18.5139,10.2288,0.1922
,20.2993,11.816,0.279
""
26.5,X Postion,Y Postion,Radius
,6.2655,11.1131,0.2064
,7.7683,4.9446,0.9179
,8.7136,2.2663,1.0884
,9.0771,4.0841,0.6719
,9.7437,3.7569,0.271
,12.3008,18.336,0.3449
,13.1685,18.3603,0.3237
,14.9912,15.0033,0.2158
,15.888,14.9791,0.303
,18.4936,10.1921,0.2658
,20.3163,11.7473,0.2828
""
