0.5135047435760498,X Postion,Y Postion,Radius
,[5.2072],[15.267],7.500100135803223
,"[5.2072, 6.2769]","[15.267, 12.0907]",14.53886890411377
,"[5.2072, 6.2769, 6.7179]","[15.267, 12.0907, 4.0742]",18.117769241333008
,"[5.2072, 6.2769, 6.7179, 9.2815]","[15.267, 12.0907, 4.0742, 12.0854]",11.011457443237305
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091]",16.80783462524414
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297]",11.194406509399414
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383]",19.321516036987305
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756]",8.141658782958984
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946]",18.698734283447266
""
1.9077332019805908,X Postion,Y Postion,Radius
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267]",7.071167945861816
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025]",7.470205783843994
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884]",14.329360008239746
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514]",19.849533081054688
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523, 9.2929]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514, 12.0854]",10.816754341125488
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523, 9.2929, 10.7121]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514, 12.0854, 10.5976]",17.46434783935547
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523, 9.2929, 10.7121, 13.0238]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514, 12.0854, 10.5976, 9.0297]",11.926960945129395
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523, 9.2929, 10.7121, 13.0238, 14.322]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514, 12.0854, 10.5976, 9.0297, 9.172]",8.208457946777344
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523, 9.2929, 10.7121, 13.0238, 14.322, 14.6146]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514, 12.0854, 10.5976, 9.0297, 9.172, 13.5617]",18.66825294494629
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523, 9.2929, 10.7121, 13.0238, 14.322, 14.6146, 16.2813]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514, 12.0854, 10.5976, 9.0297, 9.172, 13.5617, 10.4832]",18.675886154174805
""
3.505302906036377,X Postion,Y Postion,Radius
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523, 9.2929, 10.7121, 13.0238, 14.322, 14.6146, 16.2813, 5.2187]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514, 12.0854, 10.5976, 9.0297, 9.172, 13.5617, 10.4832, 15.2899]",5.656954288482666
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523, 9.2929, 10.7121, 13.0238, 14.322, 14.6146, 16.2813, 5.2187, 5.6421]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514, 12.0854, 10.5976, 9.0297, 9.172, 13.5617, 10.4832, 15.2899, 9.991]",9.192488670349121
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523, 9.2929, 10.7121, 13.0238, 14.322, 14.6146, 16.2813, 5.2187, 5.6421, 6.2896]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514, 12.0854, 10.5976, 9.0297, 9.172, 13.5617, 10.4832, 15.2899, 9.991, 12.1004]",14.596468925476074
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523, 9.2929, 10.7121, 13.0238, 14.322, 14.6146, 16.2813, 5.2187, 5.6421, 6.2896, 6.7751]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514, 12.0854, 10.5976, 9.0297, 9.172, 13.5617, 10.4832, 15.2899, 9.991, 12.1004, 4.0285]",20.61562728881836
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523, 9.2929, 10.7121, 13.0238, 14.322, 14.6146, 16.2813, 5.2187, 5.6421, 6.2896, 6.7751, 9.2849]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514, 12.0854, 10.5976, 9.0297, 9.172, 13.5617, 10.4832, 15.2899, 9.991, 12.1004, 4.0285, 12.1041]",11.013960838317871
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523, 9.2929, 10.7121, 13.0238, 14.322, 14.6146, 16.2813, 5.2187, 5.6421, 6.2896, 6.7751, 9.2849, 10.7154]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514, 12.0854, 10.5976, 9.0297, 9.172, 13.5617, 10.4832, 15.2899, 9.991, 12.1004, 4.0285, 12.1041, 10.6395]",16.67579460144043
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523, 9.2929, 10.7121, 13.0238, 14.322, 14.6146, 16.2813, 5.2187, 5.6421, 6.2896, 6.7751, 9.2849, 10.7154, 13.0353]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514, 12.0854, 10.5976, 9.0297, 9.172, 13.5617, 10.4832, 15.2899, 9.991, 12.1004, 4.0285, 12.1041, 10.6395, 9.0297]",11.85336971282959
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523, 9.2929, 10.7121, 13.0238, 14.322, 14.6146, 16.2813, 5.2187, 5.6421, 6.2896, 6.7751, 9.2849, 10.7154, 13.0353, 14.5917]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514, 12.0854, 10.5976, 9.0297, 9.172, 13.5617, 10.4832, 15.2899, 9.991, 12.1004, 4.0285, 12.1041, 10.6395, 9.0297, 13.5274]",19.163867950439453
,"[5.2072, 6.2769, 6.7179, 9.2815, 10.7006, 13.041, 14.5985, 14.2973, 16.2711, 5.2187, 5.6204, 6.2722, 6.7523, 9.2929, 10.7121, 13.0238, 14.322, 14.6146, 16.2813, 5.2187, 5.6421, 6.2896, 6.7751, 9.2849, 10.7154, 13.0353, 14.5917, 14.3226]","[15.267, 12.0907, 4.0742, 12.0854, 10.6091, 9.0297, 13.5383, 9.1756, 10.4946, 15.267, 10.0025, 12.0884, 4.0514, 12.0854, 10.5976, 9.0297, 9.172, 13.5617, 10.4832, 15.2899, 9.991, 12.1004, 4.0285, 12.1041, 10.6395, 9.0297, 13.5274, 9.1954]",8.853090286254883
