Elapsed Time,KHCO3 In (kPa),KHCO3 Out (kPa),CO2 In (kPa),CO2 Out (kPa),Current (mA),Voltage (V),Power (mW),CO2 Flow Rate (SCCM)
8.55,965.4312627596387,963.4101121567155,965.2917933508971,963.2412334527606,0.0,0.80625,0,0.08000244148075808
8.59,965.4461600445503,963.556773358173,965.4249699410121,963.2818157116578,1.25,0.80625,0,0.08000244148075808
8.63,965.4745419408043,963.5482973167578,965.3349441071929,963.25998348377,1.25,0.8075,0,0.08000244148075808
8.67,965.4308774850289,963.4147354520329,965.343548573478,963.3430743746133,0.0,0.8075,0,0.08000244148075808
8.71,965.4575898579739,963.3046753385049,965.3330177341439,963.2616530070791,-1.25,0.8075,0,0.08000244148075808
8.75,965.4849443552685,963.428862187725,965.4190623969955,963.4572440839792,1.25,0.8075,0,0.08000244148075808
8.79,965.4724871428855,963.5630661767996,965.350611941324,963.3494956181097,1.25,0.80625,0,0.08000244148075808
8.83,965.3743705422606,963.469701296362,965.3359715061523,963.4206429960497,0.0,0.80625,0,0.08000244148075808
8.87,965.501768013229,963.3538620636872,965.2301494133317,963.2095125098884,-1.25,0.8075,0,0.08000244148075808
8.91,965.448343267339,963.3055743125943,965.325954366298,963.4185881981308,0.0,0.8075,0,0.08000244148075808
8.95,965.5030522619282,963.4193587473503,965.2997556928327,963.2824578360073,0.0,0.805,0,0.08000244148075808
8.99,965.4900813500656,963.5263366640003,965.387983578473,963.3510367165488,-1.25,0.8075,0,0.08000244148075808
9.03,965.4528381377866,963.4298895866845,965.3625554542273,963.3426891000036,0.0,0.80625,0,0.08000244148075808
9.07,965.5401670493375,963.4381087783598,965.3372557548516,963.3510367165488,0.0,0.80625,0,0.08000244148075808
9.11,965.4406377751434,963.3466702709712,965.3585742832596,963.2123378570268,0.0,0.8075,0,0.08000244148075808
9.15,965.4867423034475,963.4992390164455,965.3778380137487,963.3256085923031,-1.25,0.80625,0,0.08000244148075808
9.19,965.4561771844047,963.5504805395467,965.329164988046,963.3221411208151,0.0,0.8075,0,0.08000244148075808
9.23,965.4451326455909,963.3885367785678,965.3177351746226,963.4131943535938,-1.25,0.80625,0,0.08000244148075808
9.27,965.4959888940823,963.3268928410024,965.2621272059438,963.267046851616,0.0,0.8075,0,0.08000244148075808
9.31,965.397101744238,963.4128090789841,965.3840024075052,963.3275349653521,1.25,0.8075,0,0.08000244148075808
9.34,965.364867101886,963.503605462023,965.2762539416358,963.3114818566111,0.0,0.8075,0,0.08000244148075808
9.38,965.423557267443,963.4708571201915,965.372058894602,963.3244527684739,0.0,0.8075,0,0.08000244148075808
9.42,965.450141215518,963.4402920011487,965.3394389776403,963.4320728094733,0.0,0.80625,0,0.08000244148075808
9.46,965.5329752566215,963.355916861606,965.3881120033429,963.4650780010446,-1.25,0.80625,0,0.08000244148075808
9.5,965.5300214846131,963.4066446852275,965.2644388536025,963.2768071417305,0.0,0.8075,0,0.08000244148075808
9.55,965.3661513505853,963.453776612491,965.2170500765991,963.29568559761,-1.25,0.8075,0,0.08000244148075808
9.6,965.402110314165,963.4435026228967,965.2971871954342,963.0554026659751,1.25,0.80625,0,0.08000244148075808
9.64,965.4728724174953,963.3920042500558,965.21563740303,963.2657626029168,1.25,0.80625,0,0.08000244148075808
9.68,965.4322901585981,963.3600264574437,965.315166677224,963.2620382816889,0.0,0.80875,0,0.08000244148075808
9.72,965.4774957128127,963.396884395113,965.3340451331034,963.3705572967779,0.0,0.8075,0,0.08000244148075808
9.76,965.4545076610956,963.436053980441,965.350611941324,963.4115248302849,1.25,0.80625,0,0.08000244148075808
9.8,965.4266394643213,963.4180744986511,965.4570761584941,963.3953432966739,1.25,0.80625,0,0.08000244148075808
9.86,965.4511686144774,963.3497524678495,965.3729578686915,963.4071583847073,1.25,0.8075,0,0.08000244148075808
9.9,965.526682437995,963.3538620636872,965.3646102521461,963.3547610377767,-1.25,0.80625,0,0.08000244148075808
9.93,965.4559203346648,963.4392646021893,965.4027524385148,963.4185881981308,1.25,0.80625,0,0.08000244148075808
9.97,965.4033945628643,963.3600264574437,965.3858003556843,963.2509937428752,1.25,0.8075,0,0.08000244148075808
10.02,965.5275814120845,963.3930316490153,965.4001839411162,963.3460281466216,1.25,0.80625,0,0.08000244148075808
10.08,965.5490283653623,963.3128945301803,965.3396958273802,963.1221835983375,-1.25,0.80625,0,0.08000244148075808
10.12,965.4241993917926,963.3673466750297,965.320432096891,963.1903772042692,-1.25,0.8075,0,0.08000244148075808
10.16,965.4774957128127,963.283356810097,965.3444475475676,963.4139649028134,-1.25,0.80625,0,0.08000244148075808
10.2,965.4990710909606,963.3708141465177,965.3682061485041,963.3510367165488,-1.25,0.8075,0,0.08000244148075808
10.24,965.4426925730622,963.3727405195666,965.2878121799293,963.3587422087445,0.0,0.80625,0,0.08000244148075808
10.28,965.5269392877349,963.3981686438124,965.3203036720212,963.3429459497434,1.25,0.80625,0,0.08000244148075808
10.32,965.5218022929378,963.5476551924082,965.3710314956426,963.3225263954248,-1.25,0.8075,0,0.08000244148075808
10.36,965.5117851530833,963.4298895866845,965.3196615476714,963.400480291471,-1.25,0.80625,0,0.08000244148075808
10.4,965.4834032568293,963.4455574208156,965.3002693923124,963.3067301364238,1.25,0.80875,0,0.08000244148075808
10.44,965.389909951522,963.4370813794004,965.2557059624475,963.393416923625,1.25,0.8075,0,0.08000244148075808
10.48,965.4295932363295,963.3800607371525,965.2162795273795,963.3054458877245,0.0,0.8075,0,0.08000244148075808
10.52,965.4637542517304,963.4910198247701,965.3458602211367,963.2905486028129,-1.25,0.80625,0,0.08000244148075808
10.58,965.4461600445503,963.423596768058,965.2093445844034,963.3281770897016,-1.25,0.80625,0,0.08000244148075808
10.62,965.3969733193679,963.336396281377,965.2328463356002,963.3006941675371,0.0,0.8075,0,0.08000244148075808
10.67,965.4532234123963,963.4395214519291,965.3529235889828,963.306088012074,0.0,0.80625,0,0.08000244148075808
10.72,965.359601682219,963.3591274833543,965.2894817032385,963.2274919916783,0.0,0.80625,0,0.08000244148075808
10.77,965.4542508113557,963.3908484262264,965.2729148950177,963.4102405815855,0.0,0.8075,0,0.08000244148075808
10.84,965.4866138785775,963.3245811933436,965.2657231023018,963.3211137218557,1.25,0.80625,0,0.08000244148075808
10.9,965.5637972254042,963.2874664059347,965.2989851436131,963.2111820331975,0.0,0.8075,0,0.08000244148075808
10.96,965.4238141171829,963.3771069651442,965.3474013195759,963.1202572252887,-1.25,0.8075,0,0.08000244148075808
11.01,965.5325899820116,963.3643929030213,965.1884113306053,963.1878087068707,0.0,0.8075,0,0.08000244148075808
11.06,965.3683345733741,963.2970982711792,965.3321187600545,963.2657626029168,0.0,0.8075,0,0.08000244148075808
11.1,965.4137969773285,963.3800607371525,965.3127266046953,963.2660194526566,-1.25,0.8075,0,0.08000244148075808
11.14,965.3513824905436,963.3844271827301,965.2930775995965,963.2848979085361,-1.25,0.8075,0,0.08000244148075808
11.19,965.5090882308149,963.3426891000036,965.1609284084407,963.2479115459969,1.25,0.8075,0,0.08000244148075808
11.24,965.53541532915,963.382629234551,965.21563740303,963.2323721367355,1.25,0.80875,0,0.08000244148075808
11.28,965.6213315671317,963.3622096802326,965.2080603357041,963.3081428099929,-1.25,0.8075,0,0.08000244148075808
11.33,965.4774957128127,963.3676035247695,965.2108856828426,963.3030058151958,0.0,0.80625,0,0.08000244148075808
11.38,965.3750126666104,963.4035624883493,965.2057486880454,963.3397353279952,0.0,0.8075,0,0.08000244148075808
11.43,965.3787369878382,963.2215844476616,965.2636683043829,963.2475262713871,0.0,0.80625,0,0.08000244148075808
11.48,965.3850298064647,963.4455574208156,965.1542503152044,963.1866528830412,0.0,0.8075,0,0.08000244148075808
11.53,965.4755693397638,963.3475692450608,965.3716736199922,963.4187166230008,0.0,0.8075,0,0.08000244148075808
11.59,965.5034375365381,963.315077752969,965.3589595578693,963.2726975458928,-1.25,0.80625,0,0.08000244148075808
11.63,965.3750126666104,963.3139219291397,965.4046788115636,963.1251373703459,-1.25,0.80875,0,0.08000244148075808
11.67,965.4747987905441,963.4149923017728,965.3041221384102,963.2791187893893,0.0,0.80625,0,0.08000244148075808
11.71,965.4276668632807,963.322397970555,965.306305361199,963.2852831831458,0.0,0.80875,0,0.08000244148075808
11.84,965.4339596819071,963.3352404575478,965.172743496474,963.204889214571,-1.25,0.8075,0,0.08000244148075808
11.94,965.3395674025103,963.3402490274749,965.2917933508971,963.2462420226877,0.0,0.80625,0,0.08000244148075808
12.0,965.4608004797221,963.4054888613981,965.2512110919998,963.2701290484943,0.0,0.8075,0,0.08000244148075808
12.06,965.3779664386186,963.2286478155077,965.235157983259,963.1793326654555,-1.25,0.8075,0,0.08000244148075808
12.13,965.4443620963714,963.2674321262259,965.2347727086491,963.2165758777345,0.0,0.80875,0,0.08000244148075808
12.21,965.4682491221779,963.3695298978184,965.4114853296699,963.1057452149868,1.25,0.8075,0,0.08000244148075808
12.28,965.4072473089622,963.3297181881408,965.354207837682,963.2028344166522,0.0,0.8075,0,0.08000244148075808
12.34,965.4326754332078,963.3516788408984,965.3019389156213,963.1632795567144,-1.25,0.8075,0,0.08000244148075808
12.4,965.5343879301906,963.3778775143637,965.2173069263389,963.2233823958406,0.0,0.80625,0,0.08000244148075808
12.47,965.3461170708765,963.2570297117617,965.2799782628638,963.2518927169646,0.0,0.80625,0,0.08000244148075808
12.56,965.443077847672,963.3252233176934,965.3484287185353,963.2923465509919,1.25,0.80625,0,0.08000244148075808
12.6,965.4903381998055,963.4095984572358,965.3146529777443,963.3476976699307,0.0,0.80625,0,0.08000244148075808
12.64,965.4986858163508,963.3602833071836,965.2730433198877,963.2213275979218,1.25,0.80625,0,0.08000244148075808
12.68,965.4001839411162,963.2999236183175,965.3263396409077,963.4138364779435,0.0,0.8075,0,0.08000244148075808
12.72,965.450141215518,963.3443586233126,965.359601682219,963.3441017735727,0.0,0.80625,0,0.08000244148075808
12.76,965.5550643342491,963.3656771517205,965.2971871954342,963.3810881361119,0.0,0.80625,0,0.08000244148075808
12.8,965.5211601685882,963.3370384057267,965.2522384909593,963.3214989964654,1.25,0.80625,0,0.08000244148075808
12.84,965.4980436920011,963.3927747992753,965.3465023454864,963.3277918150919,0.0,0.80625,0,0.08000244148075808
12.88,965.483916956309,963.2603687583799,965.3246701175987,963.3211137218557,0.0,0.80875,0,0.08000244148075808
12.92,965.4227867182235,963.3527062398579,965.3118276306059,963.4241104675377,1.25,0.80875,0,0.08000244148075808
12.97,965.4611857543318,963.4643074518251,965.315166677224,963.3212421467256,-1.25,0.80625,0,0.08000244148075808
13.05,965.5283519613041,963.4255231411069,965.3108002316465,963.4131943535938,1.25,0.80625,0,0.08000244148075808
13.09,965.407504158702,963.2979972452687,965.235157983259,963.3584853590046,0.0,0.80625,0,0.08000244148075808
13.14,965.3457317962668,963.192688851928,965.1679917762867,963.336524706247,1.25,0.8075,0,0.08000244148075808
13.19,965.3977438685876,963.3907200013565,965.2612282318543,963.2122094321569,-1.25,0.80625,0,0.08000244148075808
13.23,965.599627764114,963.3993244676416,965.2733001696275,963.306473286684,0.0,0.80625,0,0.08000244148075808
13.27,965.4366566041757,963.4455574208156,965.4018534644252,963.364906602501,1.25,0.8075,0,0.08000244148075808
13.31,965.4037798374742,963.3673466750297,965.318762573582,963.352320965248,0.0,0.8075,0,0.08000244148075808
13.35,965.4331891326875,963.3538620636872,965.3544646874219,963.3268928410024,0.0,0.80625,0,0.08000244148075808
13.39,965.309772832687,963.3695298978184,965.272401195538,963.359512757964,-1.25,0.80625,0,0.08000244148075808
13.43,965.3958174955386,963.3085280846028,965.3340451331034,963.3936737733648,0.0,0.80625,0,0.08000244148075808
13.47,965.4244562415324,963.3654203019807,965.3711599205125,963.396884395113,0.0,0.8075,0,0.08000244148075808
13.51,965.4701754952267,963.2950434732603,965.3918363245708,963.3823723848112,-1.25,0.80625,0,0.08000244148075808
13.55,965.5418365726464,963.3266359912625,965.3362283558922,963.3250948928234,-1.25,0.8075,0,0.08000244148075808
13.59,965.4154665006375,963.485882829973,965.3377694543314,963.2367385823131,-1.25,0.80625,0,0.08000244148075808
13.63,965.5015111634891,963.3383226544261,965.4241993917926,963.3446154730524,0.0,0.8075,0,0.08000244148075808
13.66,965.4554066351851,963.4910198247701,965.3023241902313,963.3655487268506,-1.25,0.8075,0,0.08000244148075808
13.7,965.4227867182235,963.3949580220641,965.3450896719171,963.2891359292436,0.0,0.80875,0,0.08000244148075808
13.74,965.4295932363295,963.3478260948007,965.2783087395546,963.3348551829379,-1.25,0.80625,0,0.08000244148075808
13.78,965.4157233503773,963.4025350893899,965.2572470608866,963.3813449858518,0.0,0.80875,0,0.08000244148075808
13.83,965.3800212365375,963.3507798668089,965.3042505632801,963.3059595872043,-1.25,0.8075,0,0.08000244148075808
13.88,965.4379408528749,963.4139649028134,965.2982145943936,963.3849408822098,0.0,0.8075,0,0.08000244148075808
13.92,965.419832946215,963.3962422707633,965.2911512265474,963.3904631516167,1.25,0.80625,0,0.08000244148075808
13.96,965.3797643867977,963.3393500533854,965.370132521553,963.3696583226883,0.0,0.8075,0,0.08000244148075808
14.0,965.3527951641128,963.3656771517205,965.3155519518338,963.3527062398579,0.0,0.80625,0,0.08000244148075808
14.04,965.4493706662985,963.3645213278912,965.3743705422606,963.276165017381,-1.25,0.80625,0,0.08000244148075808
14.08,965.3958174955386,963.3930316490153,965.2522384909593,963.3628518045822,0.0,0.8075,0,0.08000244148075808
14.12,965.5101156297743,963.3570726854355,965.3226153196798,963.2651204785672,-1.25,0.8075,0,0.08000244148075808
14.16,965.4254836404918,963.3908484262264,965.2745844183269,963.3108397322615,0.0,0.80875,0,0.08000244148075808
14.2,965.4655521999093,963.3803175868924,965.309772832687,963.2455998983381,0.0,0.80625,0,0.08000244148075808
14.24,965.4125127286293,963.4932030475588,965.2866563561,963.3185452244571,1.25,0.80625,0,0.08000244148075808
14.28,965.4087884074013,963.3857114314293,965.318762573582,963.3302318876205,0.0,0.80625,0,0.08000244148075808
14.32,965.4045503866937,963.4067731100974,965.3298071123958,963.3392216285155,-1.25,0.8075,0,0.08000244148075808
14.36,965.4468021688999,963.3591274833543,965.315166677224,963.2254371937595,0.0,0.8075,0,0.08000244148075808
14.39,965.4117421794097,963.3372952554666,965.3366136305019,963.3316445611898,0.0,0.80625,0,0.08000244148075808
14.43,965.3308345113552,963.3952148718039,965.3051495373696,963.2194012248729,-1.25,0.80875,0,0.08000244148075808
14.47,965.4678638475681,963.3372952554666,965.3652523764958,963.2562591625422,-1.25,0.8075,0,0.08000244148075808
14.52,965.4185486975158,963.3846840324699,965.2798498379938,963.3358825818973,0.0,0.80875,0,0.08000244148075808
14.56,965.5244992152062,963.4182029235211,965.1965020974106,963.2558738879324,-1.25,0.8075,0,0.08000244148075808
14.6,965.4254836404918,963.3182883747173,965.2325894858604,963.2461135978178,-1.25,0.8075,0,0.08000244148075808
14.64,965.3092591332073,963.3458997217517,965.2591734339354,963.2734680951124,0.0,0.8075,0,0.08000244148075808
14.68,965.4161086249873,963.4155060012525,965.2663652266515,963.2606256081197,0.0,0.80625,0,0.08000244148075808
14.72,965.4086599825314,963.3962422707633,965.309772832687,963.2935023748212,1.25,0.80625,0,0.08000244148075808
14.76,965.476853588463,963.3952148718039,965.3644818272762,963.2861821572353,0.0,0.80625,0,0.08000244148075808
14.8,965.455535060055,963.3846840324699,965.2324610609904,963.347312395321,-1.25,0.8075,0,0.08000244148075808
14.84,965.4904666246754,963.3718415454771,965.3750126666104,963.2624235562987,0.0,0.8075,0,0.08000244148075808
14.93,965.4437199720217,963.4899924258107,965.3583174335197,963.2895212038535,0.0,0.80625,0,0.08000244148075808
15.0,965.4561771844047,963.355916861606,965.2488994443412,963.2969698463093,-1.25,0.8075,0,0.08000244148075808
15.04,965.4272815886709,963.5223554930325,965.3172214751429,963.2811735873081,1.25,0.80625,0,0.08000244148075808
15.08,965.3457317962668,963.3434596492231,965.2975724700439,963.3208568721159,-1.25,0.805,0,0.08000244148075808
15.12,965.3540794128121,963.3643929030213,965.2717590711884,963.2576718361114,1.25,0.80625,0,0.08000244148075808
15.16,965.4390966767043,963.2896496287233,965.341879050169,963.3570726854355,-1.25,0.8075,0,0.08000244148075808
17.73,965.3104149570366,963.363108654322,965.2519816412195,963.2847694836661,1.25,0.8075,0,0.08000244148075808
17.77,965.4121274540194,963.3882799288278,965.3250553922084,963.2963277219595,-1.25,0.80625,0,0.08000244148075808
17.82,965.370260946423,963.1661049038528,965.222443921136,963.2378944061425,-1.25,0.8075,0,0.08000244148075808
17.86,965.3800212365375,963.4051035867884,965.1703034239454,963.2848979085361,1.25,0.80625,0,0.08000244148075808
17.9,965.4855864796181,963.3555315869963,965.211913081802,963.3443586233126,1.25,0.80625,0,0.08000244148075808
17.95,965.3319903351845,963.2798893386088,965.2943618482957,963.3379373798161,-1.25,0.80625,0,0.08000244148075808
17.99,965.4917508733746,963.4072868095772,965.3313482108349,963.389821027267,0.0,0.80625,0,0.08000244148075808
18.04,965.3575468843002,963.4935883221686,965.3377694543314,963.2539475148834,-1.25,0.8075,0,0.08000244148075808
18.08,965.3732147184313,963.2999236183175,965.2916649260271,963.2078429865794,0.0,0.8075,0,0.08000244148075808
18.12,965.4685059719178,963.2999236183175,965.2437624495441,963.2488105200863,0.0,0.8075,0,0.08000244148075808
18.17,965.2715022214486,963.3516788408984,965.2804919623435,963.3429459497434,1.25,0.8075,0,0.08000244148075808
18.21,965.3926068737904,963.3243243436038,965.3403379517299,963.2244097948001,-1.25,0.80875,0,0.08000244148075808
18.25,965.44667374403,963.4483827679541,965.3919647494408,963.396884395113,0.0,0.8075,0,0.08000244148075808
18.29,965.4551497854453,963.3297181881408,965.3387968532908,963.258313960461,0.0,0.8075,0,0.08000244148075808
18.34,965.5174358473602,963.4266789649363,965.413026428109,963.315077752969,0.0,0.80625,0,0.08000244148075808
18.39,965.5282235364341,963.4034340634793,965.3563910604707,963.332928809889,0.0,0.8075,0,0.08000244148075808
18.43,965.4389682518344,963.4464563949052,965.3676924490244,963.3261222917828,0.0,0.80875,0,0.08000244148075808
18.47,965.4624700030311,963.2872095561947,965.3619133298777,963.3285623643116,1.25,0.8075,0,0.08000244148075808
18.52,965.4067336094824,963.3885367785678,965.2433771749344,963.2777061158201,0.0,0.8075,0,0.08000244148075808
18.57,965.5040796608877,963.4147354520329,965.3095159829472,963.2741102194622,0.0,0.80625,0,0.08000244148075808
18.61,965.4849443552685,963.386353555779,965.3833602831556,963.210283059108,-1.25,0.8075,0,0.08000244148075808
18.65,965.3700040966831,963.4455574208156,965.2196185739976,963.2307026134265,0.0,0.80625,0,0.08000244148075808
18.7,965.364867101886,963.309812333302,965.32235846994,963.2105399088479,-1.25,0.8075,0,0.08000244148075808
18.74,965.3840024075052,963.4013792655604,965.3787369878382,963.3333140844987,1.25,0.80625,0,0.08000244148075808
18.8,965.491108749025,963.2580571107211,965.329164988046,963.3362678565072,-1.25,0.8075,0,0.08000244148075808
18.84,965.5234718162468,963.5403349748223,965.3368704802417,963.36683297555,-1.25,0.80625,0,0.08000244148075808
18.88,965.457461433104,963.3917474003159,965.2643104287325,963.3904631516167,-1.25,0.8075,0,0.08000244148075808
18.92,965.4616994538115,963.453776612491,965.3557489361211,963.3896926023971,1.25,0.8075,0,0.08000244148075808
18.96,965.442949422802,963.3886652034377,965.3448328221773,963.4011224158206,0.0,0.8075,0,0.08000244148075808
19.0,965.4638826766004,963.4244957421474,965.413026428109,963.220942323312,1.25,0.80875,0,0.08000244148075808
19.04,965.4780094122924,963.477021513948,965.3108002316465,963.3664477009402,0.0,0.8075,0,0.08000244148075808
19.08,965.4302353606793,963.3137935042697,965.4191908218655,963.3611822812732,-1.25,0.80625,0,0.08000244148075808
19.12,965.4456463450706,963.436053980441,965.3973585939777,963.4461995451653,0.0,0.80625,0,0.08000244148075808
19.16,965.3497129672345,963.379290187933,965.3527951641128,963.4052320116583,-1.25,0.8075,0,0.08000244148075808
19.2,965.4191908218655,963.4811311097857,965.4068620343525,963.3742816180057,0.0,0.80625,0,0.08000244148075808
19.24,965.4741566661946,963.4486396176939,965.3095159829472,963.267046851616,1.25,0.80625,0,0.08000244148075808
19.28,965.4759546143736,963.4813879595255,965.3793791121878,963.3161051519285,-1.25,0.8075,0,0.08000244148075808
19.32,965.533745805841,963.3738963433959,965.3554920863813,963.3238106441241,0.0,0.8075,0,0.08000244148075808
19.39,965.448343267339,963.423596768058,965.2544217137481,963.3800607371525,0.0,0.8075,0,0.08000244148075808
19.47,965.2944902731656,963.3920042500558,965.3432917237382,963.3054458877245,-1.25,0.80625,0,0.08000244148075808
19.52,965.3197899725415,963.332928809889,965.3398242522502,963.3157198773188,-1.25,0.80625,0,0.08000244148075808
19.59,965.402367163905,963.4379803534899,965.3572900345603,963.3218842710753,1.25,0.80625,0,0.08000244148075808
19.63,965.3900383763919,963.3692730480785,965.4104579307104,963.3146924783593,0.0,0.8075,0,0.08000244148075808
19.68,965.5315625830523,963.3988107681619,965.3075896098982,963.3708141465177,0.0,0.80625,0,0.08000244148075808
19.72,965.4103295058404,963.389821027267,965.3285228636965,963.4008655660807,1.25,0.80625,0,0.08000244148075808
19.77,965.3444475475676,963.3927747992753,965.4095589566208,963.3763364159246,-1.25,0.80625,0,0.08000244148075808
19.82,965.3969733193679,963.3137935042697,965.2418360764952,963.3046753385049,-1.25,0.80625,0,0.08000244148075808
19.88,965.4131548529788,963.3692730480785,965.2560912370571,963.4098553069757,1.25,0.8075,0,0.08000244148075808
