Time,Cumulative Area,# of Detected Areas
2.11,2.1193,7
19.56,2.0839,7
39.6,2.2847,7
59.83,2.4417,8
79.76,2.4912,8
99.86,2.4457,8
119.92,2.6172,8
140.22,2.5191,8
160.06,2.4208,8
