0.648284912109375,X Postion,Y Postion,Radius
,[9.4691],[63.4247],19.137758255004883
,"[9.4691, 9.2092]","[63.4247, 57.1862]",6.403224468231201
,"[9.4691, 9.2092, 9.2835]","[63.4247, 57.1862, 29.0387]",5.656954288482666
,"[9.4691, 9.2092, 9.2835, 11.1773]","[63.4247, 57.1862, 29.0387, 35.9456]",9.178879737854004
,"[9.4691, 9.2092, 9.2835, 11.1773, 30.7097]","[63.4247, 57.1862, 29.0387, 35.9456, 56.5921]",245.46548461914062
,"[9.4691, 9.2092, 9.2835, 11.1773, 30.7097, 17.0932]","[63.4247, 57.1862, 29.0387, 35.9456, 56.5921, 70.086]",30.153635025024414
,"[9.4691, 9.2092, 9.2835, 11.1773, 30.7097, 17.0932, 17.3787]","[63.4247, 57.1862, 29.0387, 35.9456, 56.5921, 70.086, 63.7589]",9.013978004455566
,"[9.4691, 9.2092, 9.2835, 11.1773, 30.7097, 17.0932, 17.3787, 32.0837]","[63.4247, 57.1862, 29.0387, 35.9456, 56.5921, 70.086, 63.7589, 70.4059]",167.72607421875
,"[9.4691, 9.2092, 9.2835, 11.1773, 30.7097, 17.0932, 17.3787, 32.0837, 28.4074]","[63.4247, 57.1862, 29.0387, 35.9456, 56.5921, 70.086, 63.7589, 70.4059, 67.398]",9.192488670349121
,"[9.4691, 9.2092, 9.2835, 11.1773, 30.7097, 17.0932, 17.3787, 32.0837, 28.4074, 32.1951]","[63.4247, 57.1862, 29.0387, 35.9456, 56.5921, 70.086, 63.7589, 70.4059, 67.398, 44.4122]",12.093486785888672
,"[9.4691, 9.2092, 9.2835, 11.1773, 30.7097, 17.0932, 17.3787, 32.0837, 28.4074, 32.1951, 41.6642]","[63.4247, 57.1862, 29.0387, 35.9456, 56.5921, 70.086, 63.7589, 70.4059, 67.398, 44.4122, 54.2898]",6.403224468231201
,"[9.4691, 9.2092, 9.2835, 11.1773, 30.7097, 17.0932, 17.3787, 32.0837, 28.4074, 32.1951, 41.6642, 44.1151]","[63.4247, 57.1862, 29.0387, 35.9456, 56.5921, 70.086, 63.7589, 70.4059, 67.398, 44.4122, 54.2898, 53.3243]",5.656954288482666
,"[9.4691, 9.2092, 9.2835, 11.1773, 30.7097, 17.0932, 17.3787, 32.0837, 28.4074, 32.1951, 41.6642, 44.1151, 54.7354]","[63.4247, 57.1862, 29.0387, 35.9456, 56.5921, 70.086, 63.7589, 70.4059, 67.398, 44.4122, 54.2898, 53.3243, 68.772]",5.656954288482666
""
2.986959218978882,X Postion,Y Postion,Radius
,"[9.4691, 9.2092, 9.2835, 11.1773, 30.7097, 17.0932, 17.3787, 32.0837, 28.4074, 32.1951, 41.6642, 44.1151, 54.7354, 6.779]","[63.4247, 57.1862, 29.0387, 35.9456, 56.5921, 70.086, 63.7589, 70.4059, 67.398, 44.4122, 54.2898, 53.3243, 68.772, 64.3629]",5.656954288482666
