4.12,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
5.86,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
12.45,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
19.52,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
26.66,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
33.63,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
41.72,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
47.81,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
54.8,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
61.92,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
68.95,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
76.1,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
83.11,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
90.16,X Postion,Y Postion,Radius
,0.0,0.0,0.0
,0.0,0.0,0.0
""
97.2,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
104.31,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
111.37,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
118.44,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
125.49,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
133.16,X Postion,Y Postion,Radius
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
""
139.61,X Postion,Y Postion,Radius
,0.0,0.0,0.0
,0.0,0.0,0.0
""
146.74,X Postion,Y Postion,Radius
,0.0,0.0,0.0
,0.0,0.0,0.0
""
155.25,X Postion,Y Postion,Radius
,0.0,0.0,0.0
,0.0,0.0,0.0
""
160.79,X Postion,Y Postion,Radius
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
""
167.81,X Postion,Y Postion,Radius
,0.0,0.0,0.0
""
174.9,X Postion,Y Postion,Radius
,0.0,0.0,0.0
,0.0,0.0,0.0
,0.0,0.0,0.0
""
