Elapsed Time,KHCO3 In (kPa),KHCO3 Out (kPa),CO2 In (kPa),CO2 Out (kPa),Current (mA),Voltage (V),Power (mW),CO2 Flow Rate (SCCM)
15.54,1035.0173795559037,967,962.9444435783575,960.8439264058192,-1.25,0.80625,0,0.08000244148075808
15.6,1035.1574910889951,964,962.9179880551524,960.9429419805335,0.0,0.8075,0,0.08000244148075808
15.66,1035.0761981463309,965,962.8517208222697,960.8416147581604,-1.25,0.80625,0,0.08000244148075808
15.72,1035.2905392542402,954,963.0330567386077,960.8145171106057,1.25,0.80875,0,0.08000244148075808
15.78,1035.6529542371763,951,962.8197430296577,960.7669999087325,1.25,0.9175,0,0.08000244148075808
15.85,1035.8558655316622,965,962.8730393506777,960.6886607380766,1.25,1.7575,0,0.08000244148075808
15.92,1036.0860028985728,967,962.9264640965677,960.780227670335,0.0,3.055,0,0.08000244148075808
16.0,1036.1206776134532,966,962.8510786979201,960.6948251318331,0.0,4.18125,0,0.08000244148075808
16.04,1036.0931946912888,962,962.7718405531746,960.6923850593043,0.0,4.4675,0,0.08000244148075808
16.08,1036.4314657986783,960,962.7845546152976,960.5887461892728,-1.25,4.66,0,0.08000244148075808
16.12,1036.6509439013848,957,962.8562156927172,960.6518028004073,0.0,4.7787500000000005,0,0.08000244148075808
16.16,1036.5491029795323,953,962.795984428721,960.8330102918753,-1.25,4.85125,0,0.08000244148075808
16.24,1036.7002590514371,969,962.995299826849,960.7905016599292,-1.25,4.91375,0,0.08000244148075808
16.3,1036.8565521181392,958,962.8248800244548,960.6091657435912,-2.5,4.955,0,0.08000244148075808
16.36,1037.1367751843216,970,962.9502226975044,960.776760198847,-1.25,4.9725,0,0.08000244148075808
16.44,1037.369095774021,956,962.8067721177949,960.7004758261099,0.0,4.98125,0,0.08000244148075808
16.53,1037.4125033800565,969,962.7903337344442,960.9049282190349,0.0,4.9887500000000005,0,0.08000244148075808
16.62,1037.3107908830737,958,962.8659759828317,960.7207669555585,1.25,4.99,0,0.08000244148075808
16.68,1037.799319088279,967,962.7781333718011,960.8050136702311,-1.25,4.99,0,0.08000244148075808
16.78,1037.9884889216826,952,962.8911472573376,960.7740632765784,0.0,4.99125,0,0.08000244148075808
16.86,1037.989131046032,957,962.7435870817906,960.760578665236,-1.25,4.9925,0,0.08000244148075808
16.91,1038.3993200805814,967,962.8167892576494,960.7239775773066,0.0,4.99,0,0.08000244148075808
16.97,1038.540587437502,965,962.7754364495325,960.8181130069637,0.0,4.99125,10,0.08000244148075808
17.03,1038.5594658933812,955,962.7976539520301,960.8368630379732,0.0,4.99,0,0.08000244148075808
17.07,1038.7089524419773,962,962.8269348223737,960.8651165093573,-1.25,4.99375,0,0.08000244148075808
17.13,1038.7106219652862,956,962.739349061083,960.8856644885458,1.25,4.9925,0,0.08000244148075808
17.17,1038.9709391766298,960,962.8024056722174,960.7158868105013,0.0,4.9925,0,0.08000244148075808
17.21,1038.9823689900534,952,962.7362668642047,960.730398820803,1.25,4.99125,0,0.08000244148075808
17.24,1039.1932426264748,970,962.8783047703448,960.8319828929159,0.0,4.9925,0,0.08000244148075808
17.27,1039.363534003999,968,962.8811301174832,960.7717516289198,1.25,4.99125,0,0.08000244148075808
17.31,1039.2968814965066,968,962.8804879931334,960.8409726338109,1.25,4.9925,0,0.08000244148075808
17.34,1039.230357413884,966,962.8718835268484,960.8106643645079,0.0,4.99125,0,0.08000244148075808
17.37,1039.2976520457262,963,962.9458562519268,960.7871626133111,-1.25,4.9925,0,0.08000244148075808
17.4,1039.3754775169023,966,962.9589555886594,960.7965376288158,1.25,4.9925,0,0.08000244148075808
17.44,1039.3426007502007,964,962.945470977317,960.7905016599292,0.0,4.9925,0,0.08000244148075808
17.47,1039.5370360032714,951,962.8892208842885,960.6709381060265,1.25,4.9925,0,0.08000244148075808
17.5,1039.7020619611285,969,962.8410615580657,960.8205530794922,1.25,4.9925,0,0.08000244148075808
17.54,1039.875178685791,960,962.9947861273693,960.810407514768,0.0,4.9925,0,0.08000244148075808
17.57,1039.8750502609212,967,962.9089983142575,960.7436265824057,0.0,4.9925,0,0.08000244148075808
17.6,1039.9201273902659,966,962.8568578170668,960.7989777013445,0.0,4.9925,0,0.08000244148075808
17.63,1039.802747059152,969,962.8626369362136,960.7031727483783,1.25,4.9925,0,0.08000244148075808
17.68,1039.8547591314727,967,962.7979108017701,960.773164302489,0.0,4.99125,0,0.08000244148075808
17.71,1039.953389431577,970,962.8217978275766,960.7518457740811,0.0,4.9925,0,0.08000244148075808
17.75,1040.2287323527023,959,962.7844261904276,960.8201678048825,-1.25,4.9925,0,0.08000244148075808
17.87,1040.3699997096228,958,962.753347371905,960.666571660449,0.0,4.99375,0,0.08000244148075808
17.91,1040.4803166728907,967,962.8532619207089,960.6367770906257,0.0,4.99125,0,0.08000244148075808
17.96,1040.5250085276255,955,962.692987683039,960.8282585716879,-1.25,4.9925,0,0.08000244148075808
18.0,1040.5388784135778,970,962.7604107397511,960.652316499887,-1.25,4.9925,0,0.08000244148075808
18.04,1040.7399917598846,956,962.9167038064531,960.8400736597213,0.0,4.9925,0,0.08000244148075808
18.07,1040.7352400396974,962,962.8097258898034,960.7409296601371,1.25,4.99375,0,0.08000244148075808
18.1,1041.0532200176385,967,962.8250084493247,960.8318544680459,0.0,4.99125,0,0.08000244148075808
18.14,1041.0794186911037,954,962.9988957232069,960.723335452957,1.25,4.99375,0,0.08000244148075808
18.17,1041.171114048232,955,962.9915755056211,960.9092946646124,1.25,4.9925,0,0.08000244148075808
18.2,1041.1337424110832,951,962.9675600549446,960.8000051003039,0.0,4.99375,0,0.08000244148075808
18.24,1041.041533354475,957,962.9286473193565,960.8847655144561,-1.25,4.9925,0,0.08000244148075808
18.27,1041.1192304007814,963,962.8944863039557,960.8224794525413,0.0,4.99125,0,0.08000244148075808
18.3,1041.3096844828842,953,962.9724402000018,960.836991462843,-1.25,4.9925,0,0.08000244148075808
18.33,1041.4503097154552,962,962.9444435783575,960.6973936292317,0.0,4.99375,0,0.08000244148075808
18.37,1041.5448304197218,967,962.9380223348611,960.8416147581604,0.0,4.9925,0,0.08000244148075808
18.4,1041.7603273514608,968,962.9626799098872,960.8215804784517,-1.25,4.995,0,0.08000244148075808
18.43,1041.6448733933955,966,962.8526197963592,960.9024881465062,2.5,4.99125,0,0.08000244148075808
18.47,1041.7761236104618,963,962.9823289149863,960.7752191004079,-1.25,4.99125,0,0.08000244148075808
18.5,1041.6931611444884,970,962.8942294542159,960.8829675662772,0.0,4.99375,0,0.08000244148075808
18.53,1041.7795910819498,950,962.9728254746116,960.7052275462971,0.0,4.9925,0,0.08000244148075808
18.56,1041.8682042422001,959,962.8996232987528,960.7965376288158,-1.25,4.99375,10,0.08000244148075808
18.6,1042.0356702725858,961,962.9705138269529,960.7441402818854,0.0,4.9925,0,0.08000244148075808
18.63,1042.1084871738349,960,962.9199144282014,960.7350221161204,0.0,4.99375,0,0.08000244148075808
18.68,1042.1131104691522,968,962.8929452055165,960.8197825302727,1.25,4.99375,0,0.08000244148075808
18.71,1042.1696174119204,951,962.8826712159223,960.8226078774111,1.25,4.9925,0,0.08000244148075808
18.75,1042.2506535048449,954,962.9317295162348,960.8893888097735,0.0,4.9925,0,0.08000244148075808
18.79,1042.1893948418892,969,962.929289443706,960.8247911002,0.0,4.9925,0,0.08000244148075808
18.82,1042.3437615355424,956,962.9229966250797,960.6981641784512,0.0,4.9925,0,0.08000244148075808
18.85,1042.1330163239911,957,962.9620377855376,960.7596796911465,0.0,4.9925,0,0.08000244148075808
18.88,1042.4932480841383,954,963.0179026039561,960.783951991563,0.0,4.9925,0,0.08000244148075808
18.92,1042.710928238666,968,962.8980822003136,960.8208099292322,0.0,4.99375,0,0.08000244148075808
18.95,1042.8961169011018,969,962.8189724804382,960.8913151828225,0.0,4.99125,0,0.08000244148075808
18.99,1042.8750552224337,970,962.9675600549446,960.8661439083168,0.0,4.9925,0,0.08000244148075808
19.02,1042.7750122487598,952,962.8532619207089,960.7958955044662,0.0,4.99375,0,0.08000244148075808
19.05,1042.7260823733175,962,962.861866386994,960.894140529961,1.25,4.9925,0,0.08000244148075808
19.09,1042.8543788183752,951,962.9635788839768,960.7031727483783,1.25,4.9925,0,0.08000244148075808
19.12,1042.9740707971478,960,962.9963272258084,960.7600649657563,-1.25,4.9925,0,0.08000244148075808
19.15,1043.144619024412,965,962.8542893196683,960.7582670175774,0.0,4.9925,0,0.08000244148075808
19.19,1043.1939341744642,953,962.8515923973998,960.8047568204912,-1.25,4.9925,0,0.08000244148075808
19.24,1043.5000990643719,967,962.8532619207089,960.7881900122705,-1.25,4.99125,0,0.08000244148075808
19.27,1043.4971452923637,963,962.9096404386072,960.8779589963501,0.0,4.9925,0,0.08000244148075808
19.31,1043.6267259861206,969,962.9332706146739,960.7532584476502,0.0,4.9925,0,0.08000244148075808
19.34,1043.338540578003,955,962.9082277650379,960.8057842194506,0.0,4.99375,0,0.08000244148075808
19.37,1043.3688488473058,968,962.9642210083264,960.9390892344356,0.0,4.99375,0,0.08000244148075808
19.41,1043.558660805059,954,962.9375086353814,960.7122909141433,1.25,4.99375,0,0.08000244148075808
19.44,1043.5404244735294,955,962.9652484072858,960.8803990688787,0.0,4.9925,0,0.08000244148075808
19.47,1043.6774538097422,955,962.9484247493253,960.8245342504601,-1.25,4.99375,0,0.08000244148075808
19.51,1043.7981731874743,970,962.8178166566088,960.7663577843828,1.25,4.99375,0,0.08000244148075808
19.54,1044.0317780258729,958,962.9887501584826,960.7717516289198,-1.25,4.99125,0,0.08000244148075808
