0.5902917385101318,X Postion,Y Postion,Radius
,[0.5305],[5.6254],9.300638198852539
,"[0.5305, 0.5501]","[5.6254, 7.3608]",6.403224468231201
,"[0.5305, 0.5501, 0.5763]","[5.6254, 7.3608, 7.8913]",8.20071029663086
,"[0.5305, 0.5501, 0.5763, 0.5632]","[5.6254, 7.3608, 7.8913, 7.7079]",6.020897388458252
,"[0.5305, 0.5501, 0.5763, 0.5632, 0.6025]","[5.6254, 7.3608, 7.8913, 7.7079, 8.9784]",11.629803657531738
,"[0.5305, 0.5501, 0.5763, 0.5632, 0.6025, 0.7247]","[5.6254, 7.3608, 7.8913, 7.7079, 8.9784, 8.6659]",13.511162757873535
,"[0.5305, 0.5501, 0.5763, 0.5632, 0.6025, 0.7247, 1.6241]","[5.6254, 7.3608, 7.8913, 7.7079, 8.9784, 8.6659, 8.1902]",8.342973709106445
,"[0.5305, 0.5501, 0.5763, 0.5632, 0.6025, 0.7247, 1.6241, 2.7112]","[5.6254, 7.3608, 7.8913, 7.7079, 8.9784, 8.6659, 8.1902, 9.2534]",32.128746032714844
,"[0.5305, 0.5501, 0.5763, 0.5632, 0.6025, 0.7247, 1.6241, 2.7112, 2.9535]","[5.6254, 7.3608, 7.8913, 7.7079, 8.9784, 8.6659, 8.1902, 9.2534, 10.0524]",10.700567245483398
,"[0.5305, 0.5501, 0.5763, 0.5632, 0.6025, 0.7247, 1.6241, 2.7112, 2.9535, 3.425]","[5.6254, 7.3608, 7.8913, 7.7079, 8.9784, 8.6659, 8.1902, 9.2534, 10.0524, 9.3451]",10.12432861328125
,"[0.5305, 0.5501, 0.5763, 0.5632, 0.6025, 0.7247, 1.6241, 2.7112, 2.9535, 3.425, 4.346]","[5.6254, 7.3608, 7.8913, 7.7079, 8.9784, 8.6659, 8.1902, 9.2534, 10.0524, 9.3451, 6.647]",11.251749038696289
,"[0.5305, 0.5501, 0.5763, 0.5632, 0.6025, 0.7247, 1.6241, 2.7112, 2.9535, 3.425, 4.346, 5.0983]","[5.6254, 7.3608, 7.8913, 7.7079, 8.9784, 8.6659, 8.1902, 9.2534, 10.0524, 9.3451, 6.647, 9.2345]",13.225587844848633
,"[0.5305, 0.5501, 0.5763, 0.5632, 0.6025, 0.7247, 1.6241, 2.7112, 2.9535, 3.425, 4.346, 5.0983, 5.3962]","[5.6254, 7.3608, 7.8913, 7.7079, 8.9784, 8.6659, 8.1902, 9.2534, 10.0524, 9.3451, 6.647, 9.2345, 9.1552]",5.656954288482666
,"[0.5305, 0.5501, 0.5763, 0.5632, 0.6025, 0.7247, 1.6241, 2.7112, 2.9535, 3.425, 4.346, 5.0983, 5.3962, 5.776]","[5.6254, 7.3608, 7.8913, 7.7079, 8.9784, 8.6659, 8.1902, 9.2534, 10.0524, 9.3451, 6.647, 9.2345, 9.1552, 6.6143]",5.656954288482666
,"[0.5305, 0.5501, 0.5763, 0.5632, 0.6025, 0.7247, 1.6241, 2.7112, 2.9535, 3.425, 4.346, 5.0983, 5.3962, 5.776, 6.1493]","[5.6254, 7.3608, 7.8913, 7.7079, 8.9784, 8.6659, 8.1902, 9.2534, 10.0524, 9.3451, 6.647, 9.2345, 9.1552, 6.6143, 9.9869]",30.207714080810547
,"[0.5305, 0.5501, 0.5763, 0.5632, 0.6025, 0.7247, 1.6241, 2.7112, 2.9535, 3.425, 4.346, 5.0983, 5.3962, 5.776, 6.1493, 6.7911]","[5.6254, 7.3608, 7.8913, 7.7079, 8.9784, 8.6659, 8.1902, 9.2534, 10.0524, 9.3451, 6.647, 9.2345, 9.1552, 6.6143, 9.9869, 9.9934]",16.286596298217773
,"[0.5305, 0.5501, 0.5763, 0.5632, 0.6025, 0.7247, 1.6241, 2.7112, 2.9535, 3.425, 4.346, 5.0983, 5.3962, 5.776, 6.1493, 6.7911, 7.1513]","[5.6254, 7.3608, 7.8913, 7.7079, 8.9784, 8.6659, 8.1902, 9.2534, 10.0524, 9.3451, 6.647, 9.2345, 9.1552, 6.6143, 9.9869, 9.9934, 9.9869]",10.965956687927246
""
2.7092103958129883,X Postion,Y Postion,Radius
