Time,Cumulative Area,# of Detected Areas
5.36,0.0,1
7.59,0.0,1
13.92,0.0,4
20.84,0.0,2
28.31,0.0,2
34.97,0.0,1
43.06,0.0,2
49.25,0.0,1
56.16,0.0,1
63.25,0.0,1
70.32,0.0,1
77.9,0.0,1
84.6,0.0,4
91.69,0.0,7
98.66,0.0,3
105.75,0.0,1
112.6,0.0,1
120.07,0.0,12
127.2,0.0,11
134.89,0.0,14
141.26,0.0,12
148.48,0.0,11
156.99,0.0,14
162.68,0.0,18
169.58,0.0,8
176.93,0.0,12
