0.5448620319366455,X Postion,Y Postion,Radius
,[17.3921],[1123.374],87.19671630859375
,"[17.3921, 29.906]","[1123.374, 668.6334]",199.01065063476562
,"[17.3921, 29.906, 36.8924]","[1123.374, 668.6334, 1227.7268]",10.034761428833008
,"[17.3921, 29.906, 36.8924, 35.5748]","[1123.374, 668.6334, 1227.7268, 1351.0529]",6.36406135559082
,"[17.3921, 29.906, 36.8924, 35.5748, 67.9874]","[1123.374, 668.6334, 1227.7268, 1351.0529, 1025.3456]",18.795045852661133
,"[17.3921, 29.906, 36.8924, 35.5748, 67.9874, 99.6095]","[1123.374, 668.6334, 1227.7268, 1351.0529, 1025.3456, 1548.6908]",21.476831436157227
,"[17.3921, 29.906, 36.8924, 35.5748, 67.9874, 99.6095, 167.5343]","[1123.374, 668.6334, 1227.7268, 1351.0529, 1025.3456, 1548.6908, 1106.0861]",58.09675598144531
,"[17.3921, 29.906, 36.8924, 35.5748, 67.9874, 99.6095, 167.5343, 154.9481]","[1123.374, 668.6334, 1227.7268, 1351.0529, 1025.3456, 1548.6908, 1106.0861, 1552.6435]",25.495197296142578
,"[17.3921, 29.906, 36.8924, 35.5748, 67.9874, 99.6095, 167.5343, 154.9481, 137.556]","[1123.374, 668.6334, 1227.7268, 1351.0529, 1025.3456, 1548.6908, 1106.0861, 1552.6435, 997.6762]",7.810349941253662
,"[17.3921, 29.906, 36.8924, 35.5748, 67.9874, 99.6095, 167.5343, 154.9481, 137.556, 175.671]","[1123.374, 668.6334, 1227.7268, 1351.0529, 1025.3456, 1548.6908, 1106.0861, 1552.6435, 997.6762, 989.0191]",18.831748962402344
,"[17.3921, 29.906, 36.8924, 35.5748, 67.9874, 99.6095, 167.5343, 154.9481, 137.556, 175.671, 207.4908]","[1123.374, 668.6334, 1227.7268, 1351.0529, 1025.3456, 1548.6908, 1106.0861, 1552.6435, 997.6762, 989.0191, 508.3011]",28.759613037109375
,"[17.3921, 29.906, 36.8924, 35.5748, 67.9874, 99.6095, 167.5343, 154.9481, 137.556, 175.671, 207.4908, 203.1718]","[1123.374, 668.6334, 1227.7268, 1351.0529, 1025.3456, 1548.6908, 1106.0861, 1552.6435, 997.6762, 989.0191, 508.3011, 424.5263]",19.96256446838379
,"[17.3921, 29.906, 36.8924, 35.5748, 67.9874, 99.6095, 167.5343, 154.9481, 137.556, 175.671, 207.4908, 203.1718, 211.0773]","[1123.374, 668.6334, 1227.7268, 1351.0529, 1025.3456, 1548.6908, 1106.0861, 1552.6435, 997.6762, 989.0191, 508.3011, 424.5263, 763.6729]",12.298474311828613
,"[17.3921, 29.906, 36.8924, 35.5748, 67.9874, 99.6095, 167.5343, 154.9481, 137.556, 175.671, 207.4908, 203.1718, 211.0773, 219.7734]","[1123.374, 668.6334, 1227.7268, 1351.0529, 1025.3456, 1548.6908, 1106.0861, 1552.6435, 997.6762, 989.0191, 508.3011, 424.5263, 763.6729, 637.9752]",14.603181838989258
,"[17.3921, 29.906, 36.8924, 35.5748, 67.9874, 99.6095, 167.5343, 154.9481, 137.556, 175.671, 207.4908, 203.1718, 211.0773, 219.7734, 322.5451]","[1123.374, 668.6334, 1227.7268, 1351.0529, 1025.3456, 1548.6908, 1106.0861, 1552.6435, 997.6762, 989.0191, 508.3011, 424.5263, 763.6729, 637.9752, 1208.7536]",8.139510154724121
,"[17.3921, 29.906, 36.8924, 35.5748, 67.9874, 99.6095, 167.5343, 154.9481, 137.556, 175.671, 207.4908, 203.1718, 211.0773, 219.7734, 322.5451, 590.2163]","[1123.374, 668.6334, 1227.7268, 1351.0529, 1025.3456, 1548.6908, 1106.0861, 1552.6435, 997.6762, 989.0191, 508.3011, 424.5263, 763.6729, 637.9752, 1208.7536, 1106.1527]",15.347530364990234
,"[17.3921, 29.906, 36.8924, 35.5748, 67.9874, 99.6095, 167.5343, 154.9481, 137.556, 175.671, 207.4908, 203.1718, 211.0773, 219.7734, 322.5451, 590.2163, 651.4146]","[1123.374, 668.6334, 1227.7268, 1351.0529, 1025.3456, 1548.6908, 1106.0861, 1552.6435, 997.6762, 989.0191, 508.3011, 424.5263, 763.6729, 637.9752, 1208.7536, 1106.1527, 1200.848]",21.731412887573242
